Name,Symbol
ACC LIMITED,ACC
ADANI ENTERPRISES LIMITED,ADANIENT
ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,ADANIPORTS
AMARA RAJA BATTERIES LIMITED,AMARAJABAT
AMBUJA CEMENTS LIMITED,AMBUJACEM
APOLLO HOSPITALS ENTERPRISE LIMITED,APOLLOHOSP
APOLLO TYRES LIMITED,APOLLOTYRE
ASHOK LEYLAND LIMITED,ASHOKLEY
ASIAN PAINTS LIMITED,ASIANPAINT
AUROBINDO PHARMA LIMITED,AUROPHARMA
AXIS BANK LIMITED,AXISBANK
BAJAJ AUTO LIMITED,BAJAJ-AUTO
BAJAJ FINANCE LIMITED,BAJFINANCE
BAJAJ FINSERV LIMITED,BAJAJFINSV
BALKRISHNA INDUSTRIES LIMITED,BALKRISIND
BANDHAN BANK LIMITED,BANDHANBNK
BANK OF BARODA,BANKBARODA
BATA INDIA LIMITED,BATAINDIA
BERGER PAINTS (I) LIMITED,BERGEPAINT
BHARAT ELECTRONICS LIMITED,BEL
BHARAT FORGE LIMITED,BHARATFORG
BHARAT PETROLEUM CORPORATION LIMITED,BPCL
BHARTI AIRTEL LIMITED,BHARTIARTL
BHARTI INFRATEL LIMITED,INFRATEL
BHARAT HEAVY ELECTRICALS LIMITED,BHEL
BIOCON LIMITED,BIOCON
BOSCH LIMITED,BOSCHLTD
BRITANNIA INDUSTRIES LIMITED,BRITANNIA
CADILA HEALTHCARE LIMITED,CADILAHC
CANARA BANK,CANBK
CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAFIN
CIPLA LIMITED,CIPLA
COAL INDIA LIMITED,COALINDIA
COLGATE PALMOLIVE (INDIA) LIMITED,COLPAL
CONTAINER CORPORATION OF INDIA LIMITED,CONCOR
CUMMINS INDIA LIMITED,CUMMINSIND
DABUR INDIA LIMITED,DABUR
DIVI'S LABORATORIES LIMITED,DIVISLAB
DLF LIMITED,DLF
DR. REDDY'S LABORATORIES LIMITED,DRREDDY
EICHER MOTORS LIMITED,EICHERMOT
ESCORTS LIMITED,ESCORTS
EXIDE INDUSTRIES LIMITED,EXIDEIND
THE FEDERAL BANKÃ¿ LIMITED,FEDERALBNK
GAIL (INDIA) LIMITED,GAIL
GLENMARK PHARMACEUTICALS LIMITED,GLENMARK
GMR INFRASTRUCTURE LIMITED,GMRINFRA
GODREJ CONSUMER PRODUCTS LIMITED,GODREJCP
GODREJ PROPERTIES LIMITED,GODREJPROP
GRASIM INDUSTRIES LIMITED,GRASIM
HAVELLS INDIA LIMITED,HAVELLS
HCL TECHNOLOGIES LIMITED,HCLTECH
HDFC BANK LIMITED,HDFCBANK
HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,HDFC
HDFC LIFE INSURANCE COMPANY LIMITED,HDFCLIFE
HERO MOTOCORP LIMITED,HEROMOTOCO
HINDALCO INDUSTRIES LIMITED,HINDALCO
HINDUSTAN PETROLEUM CORPORATION LIMITED,HINDPETRO
HINDUSTAN UNILEVER LIMITED,HINDUNILVR
ICICI BANK LIMITED,ICICIBANK
ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICIPRULI
INFO EDGE (INDIA) LIMITED,NAUKRI
VODAFONE IDEA LIMITED,IDEA
IDFC FIRST BANK LIMITED,IDFCFIRSTB
INDIABULLS HOUSING FINANCE LIMITED,IBULHSGFIN
INDIAN OIL CORPORATION LIMITED,IOC
INDRAPRASTHA GAS LIMITED,IGL
INDUSIND BANK LIMITED,INDUSINDBK
INFOSYS LIMITED,INFY
INTERGLOBE AVIATION LIMITED,INDIGO
ITC LIMITED,ITC
JINDAL STEEL & POWER LIMITED,JINDALSTEL
JSW STEEL LIMITED,JSWSTEEL
JUBILANT FOODWORKS LIMITED,JUBLFOOD
KOTAK MAHINDRA BANK LIMITED,KOTAKBANK
L&T FINANCE HOLDINGS LIMITED,L&TFH
LARSEN & TOUBRO LIMITED,LT
LIC HOUSING FINANCE LIMITED,LICHSGFIN
LUPIN LIMITED,LUPIN
MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,M&MFIN
MAHANAGAR GAS LIMITED,MGL
MAHINDRA & MAHINDRA LIMITED,M&M
MANAPPURAM FINANCE LIMITED,MANAPPURAM
MARICO LIMITED,MARICO
MARUTI SUZUKI INDIA LIMITED,MARUTI
MAX FINANCIAL SERVICES LIMITED,MFSL
MINDTREE LIMITED,MINDTREE
MOTHERSON SUMI SYSTEMS LIMITED,MOTHERSUMI
MRF LIMITED,MRF
MUTHOOT FINANCE LIMITED,MUTHOOTFIN
NATIONAL ALUMINIUM COMPANY LIMITED,NATIONALUM
NESTLE INDIA LIMITED,NESTLEIND
COFORGE LIMITED,COFORGE
NMDC LIMITED,NMDC
NTPC LIMITED,NTPC
OIL & NATURAL GAS CORPORATION LIMITED,ONGC
PAGE INDUSTRIES LIMITED,PAGEIND
PETRONET LNG LIMITED,PETRONET
PIDILITE INDUSTRIES LIMITED,PIDILITIND
PIRAMAL ENTERPRISES LIMITED,PEL
POWER FINANCE CORPORATION LIMITED,PFC
POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID
PUNJAB NATIONAL BANK,PNB
PVR LIMITED,PVR
RBL BANK LIMITED,RBLBANK
RELIANCE INDUSTRIES LIMITED,RELIANCE
REC LIMITED,RECLTD
SHREE CEMENT LIMITED,SHREECEM
SHRIRAM TRANSPORT FINANCE COMPANY LIMITED,SRTRANSFIN
SIEMENS LIMITED,SIEMENS
SRF LIMITED,SRF
STATE BANK OF INDIA,SBIN
SBI LIFE INSURANCE COMPANY LIMITED,SBILIFE
STEEL AUTHORITY OF INDIA LIMITED,SAIL
SUN PHARMACEUTICAL INDUSTRIES LIMITED,SUNPHARMA
SUN TV NETWORK LIMITED,SUNTV
TATA CHEMICALS LIMITED,TATACHEM
TATA CONSULTANCY SERVICES LIMITED,TCS
TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
TATA MOTORS LIMITED,TATAMOTORS
TATA POWER COMPANY LIMITED,TATAPOWER
TATA STEEL LIMITED,TATASTEEL
TECH MAHINDRA LIMITED,TECHM
THE RAMCO CEMENTS LIMITED,RAMCOCEM
TITAN COMPANY LIMITED,TITAN
TORRENT PHARMACEUTICALS LIMITED,TORNTPHARM
TORRENT POWER LIMITED,TORNTPOWER
TVS MOTOR COMPANY LIMITED,TVSMOTOR
ULTRATECH CEMENT LIMITED,ULTRACEMCO
UNITED BREWERIES LIMITED,UBL
UNITED SPIRITS LIMITED,MCDOWELL-N
UPL LIMITED,UPL
VEDANTA LIMITED,VEDL
VOLTAS LIMITED,VOLTAS
WIPRO LIMITED,WIPRO
ZEE ENTERTAINMENT ENTERPRISES LIMITED,ZEEL
